measurer,type,time,number
9,S,11:54:06.94,
9,S,11:54:07.86,
9,S,12:00:05.94,1
9,S,12:00:06.52,
9,S,12:00:27.99,2
9,S,12:00:28.50,
9,S,12:01:23.33,6
9,S,12:01:23.81,
9,S,12:01:45.75,7
9,S,12:01:46.35,
9,S,12:02:23.31,9
9,S,12:02:23.74,
9,S,12:03:06.70,11
9,S,12:03:07.24,
9,S,12:04:05.71,14
9,S,12:04:06.10,
9,S,12:04:25.24,15
9,S,12:04:25.64,
9,S,12:04:50.51,16
9,S,12:04:51.25,
9,S,12:05:07.13,17
9,S,12:05:07.59,
9,S,12:05:24.53,18
9,S,12:05:24.84,
9,S,12:05:41.15,19
9,S,12:05:41.68,
9,S,12:06:27.65,21
9,S,12:06:28.36,
9,S,12:06:39.09,12
9,S,12:06:39.76,
9,S,12:06:46.75,22
9,S,12:06:47.33,
9,S,12:07:21.94,24
9,S,12:07:22.48,
9,S,12:07:45.10,25
9,S,12:07:45.66,
9,S,12:08:03.38,26
9,S,12:08:03.74,
9,S,12:08:24.41,27
9,S,12:08:24.95,
9,S,12:08:47.05,28
9,S,12:08:47.80,
9,S,12:09:03.70,29
9,S,12:09:04.29,
9,S,12:10:04.83,32
9,S,12:10:05.30,
9,S,12:10:20.93,33
9,S,12:10:21.49,
9,S,12:11:05.83,35
9,S,12:11:06.40,
9,S,12:11:25.46,36
9,S,12:11:25.92,
9,S,12:11:45.81,37
9,S,12:11:46.46,
9,S,12:12:04.09,38
9,S,12:12:05.50,
9,S,12:12:25.33,39
9,S,12:12:25.99,
9,S,12:13:05.12,41
9,S,12:13:05.71,
9,S,12:13:25.82,43
9,S,12:13:26.44,
9,S,12:13:44.32,44
9,S,12:13:44.92,
9,S,12:14:05.70,45
9,S,12:14:06.22,
9,S,12:14:25.10,46
9,S,12:14:25.55,
9,S,12:14:45.93,47
9,S,12:14:46.26,
9,S,12:16:07.45,51
9,S,12:16:07.89,
9,S,12:16:42.10,52
9,S,12:16:42.57,
9,S,12:16:47.01,53
9,S,12:16:47.72,
9,S,12:17:06.69,54
9,S,12:17:07.25,
9,S,12:17:25.42,55
9,S,12:17:26.29,
9,S,12:17:45.43,56
9,S,12:17:46.03,
9,S,12:18:07.32,57
9,S,12:18:07.93,
9,S,12:18:29.02,58
9,S,12:18:29.66,
9,S,12:18:48.07,59
9,S,12:18:48.66,
9,S,12:19:26.90,61
9,S,12:19:27.60,
9,S,12:19:42.30,
9,S,12:19:42.99,
9,S,12:20:03.58,
9,S,12:20:04.77,
9,S,12:21:33.09,
9,S,12:24:08.05,
9,S,12:24:08.43,
9,S,12:24:23.36,
