measurer,type,time,number
1,S,8:30:00.00,1
1,S,8:30:20.00,2
1,S,8:30:40.00,3
1,S,8:31:00.00,5
1,S,8:31:20.00,6
1,S,8:31:40.00,7
1,S,8:32:00.00,8
1,S,8:32:20.00,9
1,S,8:32:40.00,10
1,S,8:33:00.00,11
1,S,8:33:20.00,12
1,S,8:33:40.00,13
1,S,8:34:00.00,14
1,S,8:34:20.00,15
1,S,8:34:40.00,16
1,S,8:35:00.00,17
1,S,8:35:20.00,18
1,S,8:35:40.00,19
1,S,8:36:00.00,20
1,S,8:36:20.00,21
1,S,8:36:40.00,22
1,S,8:37:00.00,23
1,S,8:37:20.00,24
1,S,8:37:40.00,25
1,S,8:38:00.00,26
1,S,8:38:20.00,27
1,S,8:38:40.00,28
1,S,8:39:00.00,29
1,S,8:39:20.00,30
1,S,8:39:40.00,31
1,S,8:40:00.00,32
1,S,8:40:20.00,33
1,S,8:40:40.00,34
1,S,8:41:00.00,35
1,S,8:41:20.00,36
1,S,8:41:40.00,37
1,S,8:42:00.00,38
1,S,8:42:20.00,39
1,S,8:42:40.00,40
1,S,8:43:00.00,41
1,S,8:43:20.00,43
1,S,8:43:40.00,44
1,S,8:44:00.00,45
1,S,8:44:20.00,46
1,S,8:44:40.00,47
1,S,8:45:00.00,48
1,S,8:45:20.00,49
1,S,8:45:40.00,50
1,S,8:46:00.00,51
1,S,8:46:20.00,52
1,S,8:46:40.00,53
1,S,8:47:00.00,54
1,S,8:47:20.00,55
1,S,8:47:40.00,56
1,S,8:48:00.00,57
1,S,8:48:20.00,58
1,S,8:48:40.00,59
1,S,8:49:00.00,60
1,S,8:49:20.00,61
1,S,8:49:40.00,62
