measurer,tag,time,zekken
7,S,06:29:33.64,
7,S,06:31:32.48,
7,S,06:31:32.97,
7,S,06:34:58.53,
7,S,06:34:59.32,
7,S,06:48:40.30,
7,S,06:55:04.92,
7,S,07:00:05.82,1
7,S,07:00:06.56,
7,S,07:00:24.63,2
7,S,07:00:25.13,
7,S,07:00:47.07,5
7,S,07:00:47.67,
7,S,07:01:13.03,6
7,S,07:01:13.54,
7,S,07:01:34.13,7
7,S,07:01:34.65,
7,S,07:01:56.42,8
7,S,07:01:57.18,
7,S,07:02:28.19,9
7,S,07:02:28.64,
7,S,07:02:47.86,11
7,S,07:02:48.48,
7,S,07:03:10.46,12
7,S,07:03:11.68,
7,S,07:03:37.21,14
7,S,07:03:37.62,
7,S,07:03:58.94,15
7,S,07:03:59.30,
7,S,07:04:25.87,16
7,S,07:04:26.68,
7,S,07:04:48.57,17
7,S,07:04:49.06,
7,S,07:05:14.84,18
7,S,07:05:15.27,
7,S,07:05:35.50,19
7,S,07:05:36.11,
7,S,07:05:58.98,21
7,S,07:05:59.60,
7,S,07:06:28.32,22
7,S,07:06:28.02,
7,S,07:06:57.48,24
7,S,07:06:57.86,
7,S,07:07:22.45,25
7,S,07:07:22.39,
7,S,07:07:44.00,26
7,S,07:07:44.38,
7,S,07:08:08.76,27
7,S,07:08:09.33,
7,S,07:08:36.51,28
7,S,07:08:36.94,
7,S,07:09:11.79,29
7,S,07:09:12.36,
7,S,07:09:32.78,32
7,S,07:09:33.25,
7,S,07:09:56.08,33
7,S,07:09:56.87,
7,S,07:10:12.61,35
7,S,07:10:13.21,
7,S,07:10:36.27,36
7,S,07:10:36.81,
7,S,07:11:00.52,37
7,S,07:11:01.22,
7,S,07:11:27.69,38
7,S,07:11:28.26,
7,S,07:11:53.28,39
7,S,07:11:53.97,
7,S,07:12:22.34,41
7,S,07:12:22.90,
7,S,07:12:48.71,43
7,S,07:12:49.37,
7,S,07:13:11.24,44
7,S,07:13:11.81,
7,S,07:13:39.09,45
7,S,07:13:39.93,
7,S,07:14:14.49,46
7,S,07:14:14.97,
7,S,07:14:41.49,47
7,S,07:14:42.08,
7,S,07:15:08.62,48
7,S,07:15:44.57,51
7,S,07:16:11.85,52
7,S,07:16:44.50,53
7,S,07:16:45.89,
7,S,07:17:20.40,54
7,S,07:17:21.18,
7,S,07:17:44.99,55
7,S,07:17:45.91,
7,S,07:18:07.31,56
7,S,07:18:08.18,
7,S,07:18:34.71,57
7,S,07:18:35.65,
7,S,07:19:00.91,58
7,S,07:19:02.03,
7,S,07:19:25.60,59
7,S,07:19:26.56,
7,S,07:19:51.70,61
7,S,07:19:52.35,
7,S,07:20:11.59,
7,S,07:20:12.11,
7,S,07:20:57.60,
7,S,07:20:58.29,
7,S,07:21:07.50,
7,S,07:21:09.17,
7,S,07:21:50.77,
7,S,07:21:51.26,
7,S,07:22:41.08,
7,S,07:22:41.59,
