measurer,type,time,number
12,S,07:26:14.06,
12,S,07:28:00.69,
12,S,07:28:28.08,
12,S,07:28:29.20,
12,T,08:30:41.91,
12,S,08:30:53.00,
12,S,08:32:32.07,
12,S,08:35:36.84,
12,S,08:35:37.46,
12,T,08:36:08.89,
12,S,08:36:25.28,
12,S,08:36:25.73,
12,S,08:38:18.36,
12,S,08:38:18.67,
12,S,08:41:57.18,
12,S,08:41:57.81,
12,S,08:42:31.26,
12,S,08:43:45.42,1
12,S,08:43:45.99,
12,S,08:44:15.52,2
12,S,08:44:15.82,
12,S,08:46:51.51,8
12,S,08:46:51.84,
12,S,08:48:55.94,14
12,S,08:48:56.26,
12,S,08:49:22.64,15
12,S,08:49:23.34,
12,S,08:49:50.71,17
12,S,08:50:19.53,11
12,S,08:50:45.80,19
12,S,08:50:46.25,
12,S,08:51:13.15,12
12,S,08:51:13.72,
12,S,08:51:37.07,6
12,S,08:51:37.55,
12,S,08:52:03.84,36
12,S,08:52:04.29,
12,S,08:52:25.31,24
12,S,08:52:25.76,
12,S,08:52:50.44,25
12,S,08:52:50.89,
12,S,08:53:24.35,16
12,S,08:53:25.19,
12,S,08:53:51.88,22
12,S,08:53:52.53,
12,S,08:54:15.28,27
12,S,08:54:15.34,
12,S,08:54:39.40,32
12,S,08:55:07.61,5
12,S,08:55:08.11,
12,S,08:55:32.63,26
12,S,08:55:33.09,
12,S,08:56:05.86,18
12,S,08:56:06.32,
12,S,08:56:31.22,37
12,S,08:56:31.61,
12,S,08:56:55.68,9
12,S,08:56:56.07,
12,S,08:57:30.23,21
12,S,08:57:30.68,
12,S,08:58:00.30,29
12,S,08:58:00.75,
12,S,08:58:54.85,38
12,S,08:58:55.26,
12,S,08:59:18.49,28
12,S,08:59:19.05,
12,S,08:59:43.58,35
12,S,08:59:43.92,
12,S,09:00:06.01,44
12,S,09:00:52.36,7
12,S,09:01:39.96,54
12,S,09:01:40.61,
12,S,09:02:30.60,56
12,S,09:02:31.03,
12,S,09:03:08.88,33
12,S,09:03:09.47,
12,S,09:03:44.84,58
12,S,09:03:46.08,
12,S,09:06:08.94,39
12,S,09:06:09.45,
12,S,09:06:35.71,55
12,S,09:06:36.25,
12,S,09:07:00.72,52
12,S,09:07:25.09,41
12,S,09:07:26.41,
12,S,09:07:53.44,51
12,S,09:07:53.93,
12,S,09:08:21.46,45
12,S,09:08:22.09,
12,S,09:08:49.79,46
12,S,09:08:50.09,
12,S,09:09:15.53,57
12,S,09:09:41.60,43
12,S,09:09:42.02,
12,S,09:10:08.10,47
12,S,09:10:08.51,
12,S,09:10:36.12,48
12,S,09:10:36.42,
12,S,09:11:03.50,61
12,S,09:11:04.15,
12,S,09:11:36.48,59
12,S,09:11:37.01,
12,S,09:12:55.78,53
