measurer,type,time,number,,00:00.0,00:01.0
10,T,12:53:37.66,,,,53:37.7
10,S,12:54:04.47,,,,54:04.5
10,S,12:54:04.77,,,,54:04.8
10,S,12:54:06.35,,,,54:06.3
10,S,12:54:06.67,,,,54:06.7
10,S,14:22:31.62,,,,22:31.6
10,S,14:22:32.16,,,,22:32.2
10,S,14:28:21.30,1,,,28:21.3
10,S,14:28:21.91,,,,28:21.9
10,S,14:34:18.70,2,,,34:18.7
10,S,14:34:19.30,,,,34:19.3
10,S,14:34:57.25,5,,,34:57.3
10,S,14:34:57.57,,,,34:57.6
10,S,14:35:31.54,7,,,35:31.5
10,S,14:36:04.24,9,,,36:04.2
10,S,14:36:04.76,,,,36:04.8
10,S,14:36:49.21,11,,,36:49.2
10,S,14:36:49.66,,,,36:49.7
10,S,14:37:20.22,14,,,37:20.2
10,S,14:37:20.68,,,,37:20.7
10,S,14:37:53.05,15,,,37:53.0
10,S,14:38:32.85,16,,,38:32.9
10,S,14:38:33.63,,,,38:33.6
10,S,14:39:11.46,17,,,39:11.5
10,S,14:39:11.82,,,,39:11.8
10,S,14:39:44.19,24,,,39:44.2
10,S,14:39:44.51,,,,39:44.5
10,S,14:40:18.44,21,,,40:18.4
10,S,14:40:18.80,,,,40:18.8
10,S,14:40:53.99,19,,,40:54.0
10,S,14:41:39.83,26,,,41:39.8
10,S,14:42:10.02,6,,,42:10.0
10,S,14:42:10.40,,,,42:10.4
10,S,14:42:41.73,29,,,42:41.7
10,S,14:42:42.16,,,,42:42.2
10,S,14:43:21.07,18,,,43:21.1
10,S,14:43:21.55,,,,43:21.6
10,S,14:43:50.86,28,,,43:50.9
10,S,14:43:51.21,,,,43:51.2
10,S,14:44:23.55,33,,,44:23.6
10,S,14:44:23.97,,,,44:24.0
10,S,14:44:55.67,25,,,44:55.7
10,S,14:44:56.52,,,,44:56.5
10,S,14:45:29.26,35,,,45:29.3
10,S,14:45:30.28,,,,45:30.3
10,S,14:46:17.38,36,,,46:17.4
10,S,14:46:17.81,,,,46:17.8
10,S,14:46:49.05,27,,,46:49.1
10,S,14:46:49.38,,,,46:49.4
10,S,14:47:23.55,37,,,47:23.6
10,S,14:47:55.49,39,,,47:55.5
10,S,14:47:55.86,,,,47:55.9
10,S,14:48:28.27,45,,,48:28.3
10,S,14:48:28.68,,,,48:28.7
10,S,14:49:02.02,46,,,49:02.0
10,S,14:49:02.37,,,,49:02.4
10,S,14:49:36.12,22,,,49:36.1
10,S,14:49:36.68,,,,49:36.7
10,S,14:50:12.34,38,,,50:12.3
10,S,14:50:12.83,,,,50:12.8
10,S,14:50:45.32,52,,,50:45.3
10,S,14:50:45.62,,,,50:45.6
10,S,14:52:13.25,48,,,52:13.2
10,S,14:52:13.71,,,,52:13.7
10,S,14:53:09.60,51,,,53:09.6
10,S,14:53:09.99,,,,53:10.0
10,S,14:53:46.97,54,,,53:47.0
10,S,14:54:19.48,56,,,54:19.5
10,S,14:54:19.79,,,,54:19.8
