measurer,type,time,number,,00:00:00.00
5,T,13:32:56.14,,,
5,T,13:53:34.04,,,
5,T,13:53:34.79,,,
5,S,14:15:26.57,,,
5,S,14:19:04.61,,,
5,S,14:19:22.41,,,
5,S,14:22:09.84,,,
5,S,14:22:11.18,,,
5,S,14:25:39.41,,,
5,S,14:25:40.03,,,
5,S,14:27:56.28,1,,
5,S,14:27:56.82,,,
5,S,14:33:53.65,2,,
5,S,14:33:54.20,,,
5,S,14:34:32.13,5,,
5,S,14:34:32.54,,,
5,S,14:35:05.88,7,,
5,S,14:35:06.29,,,
5,S,14:35:39.08,9,,
5,S,14:36:24.45,11,,
5,S,14:36:55.30,14,,
5,S,14:36:55.65,,,
5,S,14:37:27.94,15,,
5,S,14:38:07.82,16,,
5,S,14:38:08.51,,,
5,S,14:38:46.29,17,,
5,S,14:38:46.73,,,
5,S,14:39:18.35,24,,
5,S,14:39:18.86,,,
5,S,14:39:53.97,21,,
5,S,14:40:28.10,19,,
5,S,14:40:28.73,,,
5,S,14:41:15.41,26,,
5,S,14:41:44.80,6,,
5,S,14:42:16.86,29,,
5,S,14:42:17.38,,,
5,S,14:42:56.19,18,,
5,S,14:43:26.67,28,,
5,S,14:43:27.69,,,
5,S,14:43:58.73,33,,
5,S,14:43:59.24,,,
5,S,14:44:30.48,25,,
5,S,14:45:03.48,35,,
5,S,14:45:04.11,,,
5,S,14:45:52.16,36,,
5,S,14:45:52.65,,,
5,S,14:46:24.11,27,,
5,S,14:46:24.70,,,
5,S,14:46:58.30,37,,
5,S,14:46:58.77,,,
5,S,14:47:30.36,39,,
5,S,14:47:31.07,,,
5,S,14:48:03.14,45,,
5,S,14:48:36.73,46,,
5,S,14:49:10.72,22,,
5,S,14:49:11.52,,,
5,S,14:49:47.43,38,,
5,S,14:49:48.14,,,
5,S,14:50:18.31,52,,
5,S,14:50:18.71,,,
5,S,14:50:55.71,53,,
5,S,14:50:57.08,,,
5,S,14:51:41.54,48,,
5,S,14:52:45.01,51,,
5,S,14:52:45.53,,,
5,S,14:53:20.47,54,,
5,S,14:53:21.21,,,
5,S,14:53:54.45,56,,
5,S,14:53:55.05,,,
5,S,14:54:29.24,58,,
5,S,14:54:30.02,,,
5,S,14:55:04.53,59,,
5,S,14:55:05.28,,,
5,S,14:55:50.92,61,,
5,S,14:55:51.74,,,
5,S,14:58:14.03,44,,
5,S,14:58:15.58,,,
5,S,14:58:58.16,34,,
5,S,14:59:32.24,47,,
5,S,14:59:32.71,,,
5,S,15:00:03.36,41,,
5,S,15:00:03.83,,,
5,S,15:00:35.86,43,,
5,S,15:00:36.75,,,
5,S,15:02:20.21,57,,
5,S,15:02:21.99,,,
5,S,15:02:59.48,32,,
5,S,15:02:59.93,,,
5,S,15:03:31.67,55,,
5,S,15:03:32.52,,,
5,S,15:04:14.51,12,,
5,S,15:04:15.39,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
