measurer,type,time,number
2,S,15:24:59.50,
2,S,15:25:04.51,
2,S,15:41:10.01,
2,S,15:41:10.84,
2,S,15:52:31.98,1
2,S,15:52:32.67,
2,S,15:53:05.96,2
2,S,15:53:07.28,
2,S,15:53:33.25,5
2,S,15:53:33.90,
2,S,15:53:46.90,8
2,S,15:53:47.70,
2,S,15:54:25.58,9
2,S,15:54:26.06,
2,S,15:55:03.99,11
2,S,15:55:34.31,14
2,S,15:56:13.53,16
2,S,15:56:14.15,
2,S,15:56:38.55,17
2,S,15:56:38.84,
2,S,15:56:53.87,22
2,S,15:56:54.62,
2,S,15:57:18.89,24
2,S,15:57:19.33,
2,S,15:57:43.04,25
2,S,15:57:43.65,
2,S,15:57:57.67,26
2,S,15:57:58.14,
2,S,15:58:19.36,27
2,S,15:58:19.80,
2,S,15:58:51.64,29
2,S,15:58:52.24,
2,S,15:59:07.32,32
2,S,15:59:07.76,
2,S,15:59:30.47,6
2,S,15:59:30.96,
2,S,16:00:23.44,35
2,S,16:00:23.95,
2,S,16:01:08.48,36
2,S,16:01:08.99,
2,S,16:01:52.73,18
2,S,16:01:53.13,
2,S,16:02:21.05,37
2,S,16:02:58.99,38
2,S,16:02:59.44,
2,S,16:03:18.29,41
2,S,16:03:18.87,
2,S,16:03:47.75,45
2,S,16:03:48.55,
2,S,16:04:12.62,46
2,S,16:04:12.99,
2,S,16:04:43.35,47
2,S,16:04:43.83,
2,S,16:05:41.36,28
2,S,16:05:41.67,
2,S,16:06:04.11,51
2,S,16:06:04.50,
2,S,16:06:32.17,52
2,S,16:06:32.77,
2,S,16:07:22.54,53
2,S,16:07:23.42,
2,S,16:08:03.92,54
2,S,16:08:04.69,
2,S,16:08:27.99,55
2,S,16:08:28.48,
2,S,16:09:01.40,56
2,S,16:09:01.82,
2,S,16:09:32.30,19
2,S,16:09:33.06,
2,S,16:10:16.43,59
2,S,16:10:16.99,
2,S,16:11:07.22,57
2,S,16:11:07.99,
2,S,16:11:37.48,58
2,S,16:11:38.03,
2,S,16:11:54.68,7
2,S,16:11:55.11,
2,S,16:11:58.78,44
2,S,16:11:59.77,
2,S,16:12:25.99,33
2,S,16:12:26.48,
2,S,16:13:25.53,34
2,S,16:13:26.47,
2,S,16:14:27.26,43
2,S,16:14:28.03,
2,S,16:14:50.26,39
2,S,16:14:50.99,
2,S,16:15:24.15,12
2,S,16:15:26.12,
2,S,16:16:19.90,21
2,S,16:16:20.39,
2,S,16:16:36.70,23
2,S,16:16:37.19,
2,S,16:26:57.76,61
2,S,16:26:58.49,
