measurer,type,time,number
9,S,10:27:16.09,
9,S,10:27:17.44,
9,S,11:44:38.00,
9,S,11:44:41.93,
9,S,11:56:30.49,1
9,S,11:56:30.91,
9,S,11:56:49.70,2
9,S,11:56:50.14,
9,S,12:04:58.40,24
9,S,12:04:58.95,
9,S,12:07:52.30,5
9,S,12:07:52.63,
9,S,12:13:02.73,11
9,S,12:13:03.22,
9,S,12:13:19.64,6
9,S,12:13:20.07,
9,S,12:14:22.91,29
9,S,12:14:23.35,
9,S,12:14:54.94,16
9,S,12:14:55.42,
9,S,12:16:09.87,14
9,S,12:16:31.06,12
9,S,12:16:31.39,
9,S,12:16:45.77,26
9,S,12:16:46.13,
9,S,12:17:01.93,15
9,S,12:17:20.11,22
9,S,12:17:20.73,
9,S,12:17:52.63,18
9,S,12:18:17.34,27
9,S,12:18:17.98,
9,S,12:18:39.99,9
9,S,12:19:07.92,25
9,S,12:19:07.58,
9,S,12:20:16.74,17
9,S,12:20:17.13,
9,S,12:20:45.25,36
9,S,12:20:45.66,
9,S,12:21:05.93,7
9,S,12:21:06.32,
9,S,12:21:21.43,56
9,S,12:21:22.03,
9,S,12:21:35.89,8
9,S,12:21:36.51,
9,S,12:21:53.17,54
9,S,12:21:53.89,
9,S,12:23:24.78,37
9,S,12:23:25.25,
9,S,12:23:41.80,32
9,S,12:23:42.17,
9,S,12:24:02.48,19
9,S,12:24:03.08,
9,S,12:26:31.60,21
9,S,12:26:32.12,
9,S,12:27:09.24,35
9,S,12:27:09.97,
9,S,12:27:24.48,28
9,S,12:27:24.97,
9,S,12:29:04.84,52
9,S,12:29:04.46,
9,S,12:33:03.37,41
9,S,12:33:03.97,
9,S,12:33:27.93,51
9,S,12:33:28.35,
9,S,12:33:49.49,33
9,S,12:33:49.95,
9,S,12:36:21.79,39
9,S,12:36:22.36,
9,S,12:38:37.84,45
9,S,12:38:38.54,
9,S,12:38:57.58,46
9,S,12:38:57.00,
9,S,12:39:18.65,47
9,S,12:39:19.06,
9,S,12:39:40.77,59
9,S,12:39:41.35,
9,S,12:40:03.70,61
9,S,12:40:04.26,
9,S,12:42:40.85,38
9,S,12:42:41.43,
9,S,12:44:04.42,53
9,S,12:44:05.37,
9,S,12:44:31.26,43
9,S,12:44:32.01,
9,S,12:45:37.48,44
9,S,12:45:37.10,
9,S,12:46:03.47,57
9,S,12:46:04.07,
