Order,Point
1,500
2,480
3,460
4,440
5,420
6,400
7,380
8,360
9,340
10,320
11,300
12,280
13,260
14,240
15,220
16,200
17,190
18,180
19,170
20,160
21,150
22,140
23,130
24,120
25,110
26,105
27,100
28,95
29,90
30,85
31,80
32,75
33,70
34,65
35,60
36,57
37,54
38,51
39,48
40,45
41,40
42,38
43,36
44,34
45,32
46,30
47,28
48,26
49,24
50,22
51,20
52,18
53,16
54,14
55,12
56,10
57,8
58,6
59,4
60,2
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
